Topic,Alternate Name,Positives,Negatives
room,room,great,problem
,apartment,good,unfriendly
,chamber,very nice,horrible
hotel,hotel,amazing,stue
,property,careful,unsupported
,lodge,well,average
,resort,helpful,dirty
staff,staff,friendly,negative
,service,clean,unsupported
,personnel,cleanliness,hell
,crew,easy,bad
,he,excellent,didn't work
,she,top,ancient
location,location,superb,cold
,spot,fantastic,tiny
breakfast,breakfast,best,small
bed,bed,comfortable,hard
,sleep quality,perfect,uncomfortable
,mattresses,love,torn
,linens,going to come back,Stay away
food,food,made our stay,old
,dinner,was fun,decrepit
,lunch,not far from,terrible
bathroom,bathroom,,broken
,lavatory,,junk
,shower,,awful
,toilet,,worst
,bath,,disgusting
restaurant,restaurant,,falling out
pool,pool,,minty
,spa,,thin
,wellness,,nightmare
bar,bar,,freezing
cosr,price,,didn't sleep
,bill,,rude
,,,undisciplined
,,,fell off
,,,rotten
,,,mess
,,,surly
,,,never
,,,not going to come back
